,date,text
1,2020-11-12 10:00:01,"10 مباريات تنطلق اليوم في تصفيات كأس الأمم الإفريقية 2021! 🔥

أي مباراة تتطلع لمشاهدتها أكثر؟ 👀

#TotalAFCONQ2021 https://t.co/eMkjVg7LYJ"
2,2020-11-12 09:21:31,"91’ ⚽️ — 2-2  | أوبيانج يعادل النتيجة!
92’ 🔄 —  🔛  | نزول أوباما.
94’ ⚽️ — 3-2 | أوباما يسجل هدف الفوز!

4 دقائق من الجنون في مباراة ليبيا وغينيا الاستوائية! 🇬🇶 

#TotalAFCONQ2021 https://t.co/MkeiIyuvKP"
3,2020-11-11 22:24:55,"📽️ ملخص المباراة: 

🇱🇾 ليبيا 2-3 غينيا الاستوائية 🇬🇶 

#TotalAFCONQ2021 https://t.co/3agjRdG1Qx"
4,2020-11-11 21:15:13,"نتائج مباريات اليوم من تصفيات كأس أمم إفريقيا 2021 👇

تنتظرنا المزيد من المتعة في الأيام القادمة 🤩

#TotalAFCONQ2021 https://t.co/HymO0euESc"
5,2020-11-11 20:00:01,"🎥 ملخص المباراة: 

🇲🇷 موريتانيا 1-1 بوروندي 🇧🇮 

#TotalAFCONQ2021 https://t.co/1YTyuelK6T"
6,2020-11-11 18:48:44,"🎥 ملخص المباراة: 

🇸🇳 السنغال 2-0 غينيا بيساو 🇬🇼 

#TotalAFCONQ2021 https://t.co/Khos16yiUB"
7,2020-11-11 15:20:10,"سجل منتخب مدغشقر 7 أهداف وهو أكبر عدد من الأهداف في الجولتين الأولى والثانية من تصفيات كأس أمم إفريقيا 2021 🇲🇬🔝

#TotalAFCONQ2021 https://t.co/KWYlN952Gq"
8,2020-11-11 11:00:31,"الحماسُ في أعلى درجاته! 🔥

مباريات الجولة الثالثة من تصفيات كأس أمم إفريقيا 2021 👇

 #TotalAFCONQ2021 https://t.co/WgXiiyIGF9"
9,2020-11-12 14:31:00,"#دوري_الامم_الاوروبية ⚽️

إنريكي يستدعي كوكوريلا بعد إصابة غايا 

#NationsLeague⁣

https://t.co/1oTIkwGX2B"
10,2020-11-12 14:00:00,"#كرة_القدم  ⚽️

 جيزوس: غياب نيمار سيكون مؤثراً

#Football 

https://t.co/zx0TX58wG8"
